18/04/2023,17,21,23,35,37,10,11
14/04/2023,4,11,37,44,49,6,7
11/04/2023,10,14,16,19,29,2,10
08/04/2023,5,26,28,36,46,6,12
07/04/2023,10,16,31,33,50,3,8
04/04/2023,16,18,28,34,47,5,10
31/03/2023,16,21,34,36,44,9,10
28/03/2023,5,12,25,36,46,6,10
24/03/2023,1,9,20,29,32,2,3
17/03/2023,5,15,26,37,49,8,11
14/03/2023,16,26,28,31,46,11,12
10/03/2023,9,16,37,38,48,2,7
07/03/2023,11,13,24,35,50,6,11
03/03/2023,3,6,8,24,50,10,11
28/02/2023,12,29,33,37,47,5,10
24/02/2023,7,23,34,42,48,1,3
21/02/2023,21,22,34,41,49,2,7
17/02/2023,8,23,27,42,45,1,9
14/02/2023,24,26,38,43,46,2,3
10/02/2023,3,13,25,36,47,3,8
07/02/2023,2,8,34,44,47,3,9
03/02/2023,2,14,17,32,45,3,10
31/01/2023,7,12,19,33,43,3,7
27/01/2023,8,9,15,19,31,10,12
24/01/2023,11,27,41,43,47,7,11
20/01/2023,3,6,13,40,42,7,11
17/01/2023,18,21,30,46,50,2,6
13/01/2023,4,13,25,33,37,5,10
10/01/2023,11,13,34,40,42,3,10
06/01/2023,16,31,35,44,45,4,12
03/01/2023,20,21,29,45,46,3,10
30/12/2022,17,34,42,47,48,1,9
27/12/2022,19,31,33,34,43,3,5
23/12/2022,16,17,23,26,35,5,11
20/12/2022,1,11,17,20,27,4,5
16/12/2022,2,15,19,35,44,2,7
13/12/2022,3,9,12,26,30,10,11
09/12/2022,8,27,31,46,50,1,3
06/12/2022,12,20,25,26,27,8,12
02/12/2022,12,21,35,39,45,6,11
29/11/2022,15,20,24,35,38,8,12
25/11/2022,19,21,35,37,39,2,6
22/11/2022,21,22,24,29,42,3,11
18/11/2022,13,16,19,35,41,1,11
15/11/2022,13,21,24,31,33,1,12
11/11/2022,2,19,24,25,44,2,10
08/11/2022,3,5,32,33,50,1,8
04/11/2022,2,11,37,45,47,2,3
01/11/2022,19,37,42,47,48,1,6
28/10/2022,14,16,21,28,35,1,11
25/10/2022,7,24,34,39,46,1,6
21/10/2022,25,26,28,38,40,1,6
18/10/2022,3,5,13,42,48,1,6
14/10/2022,24,28,29,34,48,3,7
11/10/2022,8,23,32,35,40,1,8
07/10/2022,26,27,42,45,50,1,12
04/10/2022,3,18,28,42,43,3,12
30/09/2022,1,2,11,16,26,3,12
27/09/2022,4,20,21,34,44,1,3
23/09/2022,14,15,22,35,48,3,8
20/09/2022,11,21,23,32,48,3,12
16/09/2022,10,27,36,45,49,3,4
13/09/2022,9,12,15,40,47,1,11
09/09/2022,17,23,24,26,27,4,9
06/09/2022,7,10,22,29,44,4,5
02/09/2022,7,12,13,20,45,3,12
30/08/2022,4,6,10,15,19,1,4
26/08/2022,22,23,25,38,44,11,12
23/08/2022,19,26,31,39,48,2,3
19/08/2022,2,9,13,19,38,2,6
16/08/2022,10,14,25,32,39,7,8
12/08/2022,14,17,34,35,42,6,10
09/08/2022,18,19,21,27,47,5,11
05/08/2022,3,29,33,35,44,8,10
02/08/2022,7,18,28,40,48,8,11
29/07/2022,3,23,38,43,48,3,8
26/07/2022,3,5,17,25,27,1,9
22/07/2022,16,18,29,32,50,4,11
19/07/2022,6,23,27,40,41,2,12
15/07/2022,9,17,29,38,39,7,10
12/07/2022,14,18,24,25,50,6,11
08/07/2022,28,31,35,43,46,4,7
05/07/2022,7,10,25,45,48,3,6
01/07/2022,6,18,24,34,46,3,12
28/06/2022,10,35,42,47,48,2,11
24/06/2022,10,17,28,44,50,8,12
21/06/2022,6,23,36,39,47,8,10
17/06/2022,19,21,22,31,38,7,11
14/06/2022,2,7,27,34,40,3,11
10/06/2022,17,26,36,37,40,9,12
07/06/2022,6,16,17,25,31,2,6
03/06/2022,12,28,29,34,48,9,11
31/05/2022,3,10,13,42,49,3,9
27/05/2022,15,23,28,34,48,3,5
24/05/2022,10,13,27,36,37,2,10
20/05/2022,8,22,23,32,50,3,9
17/05/2022,5,28,30,48,49,5,11
13/05/2022,3,11,17,45,48,4,8
10/05/2022,3,25,27,28,29,4,9
06/05/2022,3,8,18,24,40,3,11
03/05/2022,8,20,26,47,48,3,8
29/04/2022,10,11,20,36,37,3,7
26/04/2022,4,25,28,34,45,8,11
22/04/2022,6,11,21,35,36,1,9
19/04/2022,2,12,17,28,46,6,10
15/04/2022,6,24,30,32,48,5,6
12/04/2022,21,30,31,35,47,2,10
08/04/2022,1,15,16,38,45,4,11
05/04/2022,1,11,13,24,49,5,6
01/04/2022,2,7,21,31,45,4,10
29/03/2022,8,11,33,42,43,6,11
25/03/2022,6,10,24,27,29,5,12
22/03/2022,7,17,21,29,40,8,11
18/03/2022,1,9,14,17,43,6,12
15/03/2022,1,2,12,19,26,2,8
11/03/2022,12,19,22,23,48,2,6
08/03/2022,12,18,21,25,31,2,9
04/03/2022,6,20,40,42,43,10,12
01/03/2022,8,24,26,39,42,3,5
25/02/2022,10,13,24,30,42,1,5
22/02/2022,5,9,14,26,32,3,7
